match_id,player_slot,radiant_win,duration,game_mode,lobby_type,hero_id,start_time,version,kills,deaths,assists,skill,average_rank,leaver_status,party_size
6295502188,2,False,2632,22,7,121,1638062224,,7,11,14,1.0,,0,2.0
6293911380,129,False,2693,22,7,104,1637985713,,6,12,30,1.0,,0,5.0
6293701162,3,False,3417,22,7,28,1637967227,21.0,10,8,26,,,0,1.0
6292390368,128,False,1910,22,7,96,1637900660,,9,3,17,1.0,,0,2.0
6292368829,2,True,1381,22,7,104,1637898715,,4,1,16,1.0,,0,2.0
6289451188,130,True,2004,22,7,96,1637720308,,4,6,13,1.0,,0,1.0
6289422894,130,False,2229,22,7,5,1637717769,,6,5,16,1.0,,0,1.0
6288909224,132,True,2757,3,7,81,1637685250,,2,14,5,,,0,1.0
6288833629,0,True,2486,22,7,104,1637682310,,11,9,22,1.0,,0,1.0
6288086190,130,False,2332,22,7,96,1637642694,,11,5,23,1.0,,0,1.0
6288054545,4,True,2240,22,7,98,1637639954,,6,3,18,1.0,,0,1.0
6284830118,1,True,2034,22,7,104,1637464945,,10,2,10,1.0,,0,2.0
6284793401,2,False,2155,22,7,104,1637462329,,8,10,7,1.0,,0,2.0
6284745326,4,False,3343,22,7,96,1637458507,,9,9,24,1.0,,0,3.0
6284604324,128,False,2833,22,7,96,1637447045,21.0,5,9,14,1.0,,0,2.0
6284564527,128,True,1866,22,7,101,1637444650,21.0,6,8,7,1.0,,0,2.0
6273677753,3,True,2326,22,7,30,1636858449,,7,6,12,1.0,,0,2.0
6273637472,128,False,2448,22,7,98,1636855494,,12,6,13,1.0,,0,2.0
6273367543,2,False,2447,22,7,96,1636836824,,4,8,13,1.0,,0,1.0
6273302552,0,True,2598,22,7,30,1636833863,,14,9,20,,,0,1.0
6266955672,129,True,3760,22,7,62,1636495880,,1,19,20,,,0,1.0
6266924808,129,True,1920,22,7,84,1636493671,,2,9,4,1.0,,0,1.0
6266872575,3,False,2667,22,7,101,1636490476,,3,13,13,1.0,,0,1.0
6262165649,3,False,2039,22,7,101,1636251236,,4,12,9,1.0,,0,2.0
6262127603,3,True,2657,22,7,101,1636248196,,10,10,24,,,0,2.0
6261681050,1,True,2364,22,7,101,1636223087,,12,3,16,,,0,1.0
6261585731,128,True,3075,22,7,3,1636219641,,5,14,17,,,0,1.0
6260311399,128,True,2456,22,7,97,1636164076,,5,8,11,1.0,,0,2.0
6260271609,128,False,2735,22,7,96,1636160779,,4,9,23,1.0,,0,2.0
6260243871,2,False,1904,22,7,104,1636158374,,4,10,5,1.0,,0,2.0
6248147607,3,True,2417,22,7,98,1635561436,,6,6,15,1.0,,0,2.0
6248116127,131,True,1837,22,7,98,1635559091,21.0,3,9,5,1.0,,0,2.0
6140337017,4,False,2696,3,7,98,1629256071,21.0,4,14,5,3.0,,0,3.0
6134914631,3,True,3411,3,7,120,1628947557,,5,9,16,,,0,5.0
6133385949,130,True,2288,3,7,7,1628863048,,2,8,11,1.0,,0,3.0
6129139205,2,False,2746,3,7,97,1628606878,21.0,0,9,13,,,0,1.0
6129072906,128,True,1907,3,7,99,1628604500,21.0,6,7,4,1.0,,0,1.0
6128996062,3,False,2483,3,7,102,1628601664,21.0,3,11,11,,,0,1.0
6127408665,3,True,2633,3,7,98,1628509242,,20,4,12,1.0,,0,1.0
6127173930,3,True,2278,3,7,98,1628495951,,9,3,15,1.0,,0,1.0
6127129631,0,True,2334,3,7,96,1628492960,,4,5,21,1.0,,0,1.0
6126077003,130,False,2355,3,7,97,1628429247,,4,7,13,,,0,5.0
6125994042,2,True,2475,3,7,97,1628426350,,9,7,14,,,0,5.0
6125880436,130,True,2792,3,7,52,1628421935,,5,14,16,1.0,,0,1.0
6125482437,128,False,3075,3,7,84,1628403795,,4,10,21,,,0,2.0
6125421899,132,True,2293,3,7,28,1628400548,,3,8,16,1.0,,0,1.0
6125364453,3,False,3147,3,7,120,1628397105,,4,7,13,,,0,1.0
6124363320,129,False,2651,22,7,98,1628342993,21.0,6,7,14,,,0,5.0
6121336448,4,True,2485,3,7,97,1628171603,,3,2,14,,,0,5.0
6119953479,4,True,1770,3,7,28,1628085886,,1,5,18,,,0,5.0
6118038284,1,True,3008,3,7,85,1627973510,,2,9,25,1.0,,0,2.0
6118002519,3,False,2393,3,7,85,1627970769,,5,11,6,1.0,,0,1.0
6117957352,0,False,2532,3,7,75,1627967116,,3,15,11,1.0,,0,1.0
6117035810,0,True,1715,22,7,98,1627910626,21.0,6,3,17,1.0,,0,3.0
6079170141,4,False,3295,3,7,97,1625754171,,7,6,20,,,0,1.0
6079087654,3,False,2635,3,7,121,1625751042,21.0,0,14,14,,,0,5.0
6079020106,3,False,2461,3,7,27,1625748192,21.0,2,13,9,1.0,,0,5.0
6077512412,128,False,2070,3,7,99,1625659337,,5,4,16,1.0,,0,3.0
6076983515,130,False,2196,3,7,47,1625621275,,4,5,21,1.0,,0,1.0
6076961272,131,True,1946,3,7,20,1625618941,,3,14,4,1.0,,0,1.0
6076932636,4,False,2273,3,7,88,1625616110,,4,11,5,1.0,,0,1.0
6076134313,2,True,2343,3,7,86,1625575005,,5,11,14,1.0,,0,3.0
6076075345,0,True,2052,3,7,104,1625572516,,7,4,11,1.0,,0,2.0
6075961740,2,True,1668,3,7,52,1625566759,,7,6,15,1.0,,0,3.0
6074565501,3,True,3004,3,7,96,1625486758,,3,6,23,,,0,2.0
6074423063,129,False,3083,3,7,30,1625479710,,11,15,16,,,0,3.0
6074385266,130,True,1758,3,7,98,1625477540,,6,4,4,1.0,,0,2.0
6074345728,132,True,1936,3,7,120,1625475171,,3,8,6,1.0,,0,1.0
6073123177,3,True,2287,3,7,97,1625404725,,3,10,21,,,0,5.0
6073046985,3,True,2072,22,7,96,1625402202,,9,4,29,1.0,,0,5.0
6072868823,132,False,2630,3,7,96,1625395316,,4,8,27,1.0,,0,1.0
6072213318,2,True,1853,3,7,96,1625361204,,8,4,16,1.0,,0,1.0
6069640907,128,False,2944,3,7,98,1625231526,21.0,6,7,15,,,0,5.0
6069556705,0,False,2450,3,7,85,1625228292,21.0,1,14,13,,,0,3.0
6069337846,2,True,2183,3,7,98,1625217244,,9,6,14,1.0,,0,1.0
6069302301,132,False,1766,3,7,52,1625215186,,1,2,11,1.0,,0,1.0
6065177642,0,True,1979,3,7,98,1624976638,,5,4,13,,,0,2.0
6065085047,0,True,1932,3,7,20,1624973586,,1,9,12,1.0,,0,2.0
6065015949,130,True,1882,3,7,28,1624971162,,2,9,5,,,0,1.0
6064916022,131,True,2822,22,7,101,1624967189,21.0,6,14,12,1.0,,0,5.0
6063339787,0,False,2223,22,7,28,1624881265,21.0,3,9,10,,,0,5.0
6063278990,129,True,1829,22,7,96,1624878621,21.0,4,8,7,1.0,,0,3.0
6063119886,2,True,2095,22,7,28,1624870285,,10,2,17,1.0,,0,3.0
6063039827,2,False,4074,3,7,98,1624865525,,11,10,20,,,0,3.0
6062987871,129,True,3049,3,7,120,1624862057,,5,8,23,1.0,,0,1.0
6061803586,2,True,2840,3,7,120,1624798648,21.0,11,12,20,,,0,5.0
6061710432,2,True,2694,3,7,99,1624795518,21.0,2,5,23,,,0,5.0
6061624209,132,False,2504,3,7,36,1624792333,,9,5,15,,,0,1.0
6056436981,1,False,1898,3,7,28,1624536332,,4,6,8,1.0,,0,1.0
6056370387,4,False,2433,22,7,27,1624533625,,5,17,11,1.0,,0,1.0
6056324199,130,True,1883,3,7,87,1624531462,,3,12,15,1.0,,0,3.0
6056182217,2,False,2543,22,7,84,1624524016,,2,15,14,1.0,,0,3.0
6056114673,129,False,2165,22,7,88,1624520089,,3,12,23,1.0,,0,2.0
6056062351,2,False,2456,3,7,3,1624516692,,2,10,9,1.0,,0,2.0
6056021667,1,True,2226,22,7,28,1624513816,,6,5,16,1.0,,0,1.0
6055813702,131,True,2069,3,7,120,1624496270,,5,8,10,1.0,,0,1.0
6054776306,131,False,2678,3,0,16,1624438517,,6,7,11,1.0,,0,1.0
6054500322,129,False,2086,22,7,28,1624417610,,5,4,13,1.0,,0,1.0
6054461935,132,False,3044,22,7,88,1624414178,,2,10,20,1.0,,0,1.0
6054433352,3,False,2446,3,7,104,1624411434,,5,7,11,1.0,,0,1.0
6054411649,2,True,1907,3,7,25,1624409204,,3,8,12,1.0,,0,1.0
6053651763,0,True,2641,22,7,64,1624367703,,3,9,25,,,0,
6053579195,0,True,2560,3,7,50,1624364788,21.0,0,8,14,1.0,,0,5.0
6052387893,3,False,2292,3,7,88,1624287532,,0,12,16,1.0,,0,3.0
6052300359,3,False,2591,3,7,88,1624284430,,2,14,13,1.0,,0,3.0
6052183839,131,False,3349,3,7,101,1624280117,,5,17,26,1.0,,0,2.0
6052079675,3,False,1679,22,7,7,1624275652,,2,7,6,1.0,,0,1.0
6052027573,131,True,2203,22,7,84,1624273028,,2,14,12,1.0,,0,1.0
6050921453,130,False,2785,3,7,84,1624200357,21.0,4,11,27,2.0,,0,5.0
6050857993,130,True,1739,22,7,104,1624198197,21.0,1,5,7,1.0,,0,5.0
6050758225,130,True,3090,3,7,104,1624194750,21.0,8,14,27,,,0,5.0
6050013386,130,True,2252,22,7,96,1624159614,,3,7,9,1.0,,0,1.0
6049979252,131,True,2104,3,7,28,1624157200,,3,10,8,1.0,,0,1.0
6049949018,3,False,1930,22,7,28,1624154969,,5,10,8,1.0,,0,1.0
6049914892,0,False,2489,3,7,98,1624152153,,5,8,13,1.0,,0,1.0
6049895081,129,False,1514,3,7,28,1624150339,,2,4,10,1.0,,0,1.0
6049860937,129,False,2849,22,7,96,1624147043,,3,8,15,1.0,,0,1.0
6048338444,0,True,1825,22,7,88,1624070182,,5,4,22,1.0,,0,3.0
6048292594,131,True,2573,22,7,96,1624066419,,4,13,11,1.0,,0,3.0
6048248861,128,False,3642,22,7,96,1624062096,,6,8,29,,,0,1.0
6047542339,130,True,2195,3,7,103,1624024906,21.0,2,11,10,1.0,,0,5.0
6043158124,128,True,1980,22,7,97,1623761138,21.0,0,6,7,1.0,,0,3.0
6043072333,132,True,2312,3,7,129,1623757472,,2,9,24,,,0,
6042960370,131,False,2244,3,7,98,1623751622,,5,9,17,1.0,,0,3.0
6042842663,128,False,3028,3,7,28,1623744370,,9,9,26,1.0,,0,1.0
6042804276,130,True,2247,3,7,101,1623741752,,12,7,12,1.0,,0,1.0
6042636416,131,False,2115,3,7,88,1623728568,,2,4,17,1.0,,0,1.0
6042590603,128,True,3563,22,7,90,1623724690,,6,11,18,1.0,,0,1.0
6042559157,129,False,2312,22,7,96,1623721874,,3,7,23,1.0,,0,1.0
6042511941,129,True,2951,22,7,88,1623717076,,1,10,16,1.0,,0,1.0
6041767890,132,False,2210,3,7,50,1623677317,,4,7,22,,,0,3.0
6041643234,130,False,2413,22,7,96,1623672665,21.0,3,6,26,,,0,3.0
6041575478,132,True,2154,3,7,99,1623669770,,1,11,15,1.0,,0,1.0
6041506487,128,True,2978,22,7,96,1623666516,,4,9,19,,,0,1.0
6036288539,129,False,1475,22,7,104,1623381650,,3,1,8,1.0,,0,1.0
6036260459,130,True,1939,22,7,121,1623379269,,0,10,5,1.0,,0,1.0
6036225385,3,False,2854,22,7,101,1623376137,,11,10,14,1.0,,0,1.0
6035135708,128,True,3326,22,7,129,1623314639,,8,12,17,,,0,1.0
6035094525,130,True,2244,22,7,99,1623311953,,2,11,13,1.0,,0,1.0
6035055032,3,False,2340,22,7,96,1623309204,,1,11,3,1.0,,0,1.0
6035022731,2,False,2048,3,7,69,1623306792,,3,10,8,1.0,,0,1.0
6034991016,129,False,2220,22,7,28,1623304302,,10,6,18,1.0,,0,1.0
6034957901,132,True,2153,22,7,104,1623301652,,2,12,2,1.0,,0,1.0
6034837714,130,True,1938,22,7,64,1623291895,,1,7,3,1.0,,0,3.0
6034811035,2,True,2041,3,7,90,1623289416,,1,9,16,1.0,,0,3.0
6034773027,128,False,3159,22,7,88,1623285466,,1,13,30,1.0,,0,1.0
6034750776,128,True,2098,22,7,98,1623283018,,6,10,7,1.0,,0,1.0
6032310487,132,False,2980,3,7,5,1623145805,,3,12,19,1.0,,0,1.0
6032145111,0,True,2147,22,7,104,1623135175,,4,4,12,1.0,,0,1.0
6032094342,0,True,3344,22,7,98,1623131292,,11,5,20,,,0,1.0
6032057508,132,True,2597,3,7,98,1623128357,,8,7,16,1.0,,0,1.0
6032025152,129,True,2257,22,7,52,1623125731,,0,11,8,1.0,,0,1.0
6031933226,128,False,1945,22,7,96,1623117935,,4,5,16,1.0,,0,1.0
6031905611,4,True,2289,22,7,52,1623115260,,3,6,11,1.0,,0,1.0
6031879229,130,True,2257,22,7,104,1623112484,,4,7,9,1.0,,0,1.0
6031233208,3,True,2544,22,7,104,1623075463,,8,8,17,1.0,,0,1.0
6031144918,4,False,2609,3,7,98,1623072297,21.0,2,9,6,2.0,,0,3.0
6031095132,132,True,1557,22,7,52,1623070424,21.0,0,9,3,2.0,,0,3.0
6029643664,1,False,1500,3,7,88,1622985817,21.0,2,12,4,1.0,,1,5.0
6029028530,131,True,2460,22,7,98,1622960114,,7,8,10,,,0,5.0
6028952628,128,False,2450,22,7,52,1622956121,,8,5,21,1.0,,0,1.0
6028849810,0,True,3215,3,7,110,1622950045,,8,6,20,1.0,,0,1.0
6028082790,129,True,1900,22,7,98,1622906341,,4,6,3,1.0,,0,2.0
6028022775,128,False,1701,22,7,98,1622904322,,5,4,6,,,0,
6027941710,0,False,2277,22,7,110,1622901629,,2,11,14,1.0,,0,1.0
6027833020,0,False,3409,22,7,98,1622897811,,13,9,12,,,0,1.0
6027394178,0,True,2243,3,7,98,1622878121,,12,2,19,1.0,,0,3.0
6027334895,128,True,2572,3,7,16,1622875110,,10,14,23,2.0,,0,3.0
6027279348,3,False,2686,22,7,88,1622872079,,2,15,19,1.0,,0,2.0
6027093195,1,False,2159,3,7,87,1622860194,,1,12,17,1.0,,0,2.0
6027002848,130,True,3426,22,7,88,1622852393,,7,14,19,1.0,,0,1.0
6025971747,3,True,2206,3,7,120,1622802058,,8,6,20,2.0,,0,2.0
6025747194,128,False,3506,22,7,52,1622788226,,4,15,21,1.0,,0,1.0
6025714077,1,False,2094,22,7,52,1622785816,,1,10,7,1.0,,0,1.0
6025678869,131,False,2154,3,7,99,1622783120,,8,5,19,1.0,,0,1.0
6025651836,132,False,1762,3,7,104,1622780971,,9,5,10,1.0,,0,1.0
6025591758,129,False,2254,22,7,99,1622775850,,4,6,18,1.0,,0,1.0
6025549422,0,False,3375,22,7,52,1622771931,,5,9,12,1.0,,0,1.0
6025531473,128,True,1545,3,7,78,1622770088,,2,6,4,1.0,,0,1.0
6024884449,0,False,1902,22,7,99,1622731345,21.0,2,8,7,2.0,,0,3.0
6024808914,2,False,2186,22,7,98,1622728690,21.0,5,8,5,2.0,,0,3.0
6024659503,129,True,2358,22,0,52,1622722966,,5,12,4,1.0,,0,1.0
6024078963,132,False,2316,3,7,99,1622686261,,5,10,14,1.0,,0,1.0
6024046827,2,False,2713,3,7,88,1622683280,,2,8,19,1.0,,0,1.0
6023403743,0,False,2655,22,7,98,1622644980,,7,10,11,,,0,1.0
6023350848,130,True,1545,3,7,79,1622643051,,0,11,6,1.0,,0,1.0
6023280714,128,True,1895,22,7,98,1622640542,21.0,3,9,8,1.0,,0,2.0
6023036535,4,False,3577,22,7,27,1622629292,,4,22,24,,,0,2.0
6018639094,4,True,2260,3,7,85,1622380234,21.0,4,9,8,1.0,,0,3.0
6018139777,130,False,2328,22,7,52,1622360365,,7,12,23,1.0,,0,3.0
6018085352,0,False,2214,22,7,98,1622357870,,8,8,7,1.0,,0,2.0
6017815263,0,False,2423,3,0,52,1622342321,,5,10,10,1.0,,0,1.0
6017769661,1,True,2747,22,7,98,1622339025,,13,4,15,1.0,,0,1.0
6016819148,1,True,1927,22,7,88,1622293387,,0,6,12,1.0,,0,2.0
6016745907,4,True,2257,22,7,52,1622290747,,7,10,19,1.0,,0,2.0
6016029738,4,True,3772,22,7,52,1622253276,,11,9,26,1.0,,0,1.0
6016000866,0,False,2115,22,7,37,1622250862,,4,10,8,1.0,,0,1.0
6015082443,128,False,2308,3,7,52,1622205980,21.0,0,13,21,1.0,,0,3.0
6015005382,131,False,2585,22,7,93,1622202808,21.0,1,5,12,2.0,,0,2.0
6013251822,131,False,2804,22,7,52,1622102772,,9,13,21,1.0,,0,1.0
6013211103,129,False,2251,3,7,86,1622100112,21.0,3,8,17,1.0,,0,1.0
6013173794,130,True,2297,22,7,16,1622097467,,6,10,17,1.0,,0,1.0
